x, y, th, stamp, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.131696, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.1789339, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.227101, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.2759416, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.3217711, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.3704233, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.418219, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.4817712, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.5302408, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.578653, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.626589, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.674924, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.722136, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.7704117, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.8182936, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.8823674, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.9298897, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994691.9787195, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.0265987, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.0745618, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.1245656, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.1704984, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.2182746, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.284443, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.3305106, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.3784587, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.4275026, 
-3.9098708629608154, 1.9283136129379272, -2.517306469746253, 1695994692.474482, 
-3.911313056945801, 1.9273806810379028, -2.512454679675993, 1695994692.5227697, 
-3.9151055812835693, 1.9247311353683472, -2.511898770282769, 1695994692.570585, 
-3.920903444290161, 1.920638084411621, -2.512011733406994, 1695994692.6193295, 
-3.927612781524658, 1.9151084423065186, -2.510770529916372, 1695994692.6660426, 
-3.9397754669189453, 1.9065093994140625, -2.5097725440049565, 1695994692.730552, 
-3.9512500762939453, 1.8979449272155762, -2.508422836695802, 1695994692.7797074, 
-3.9640605449676514, 1.8885133266448975, -2.5077104134799484, 1695994692.8265412, 
-3.978323221206665, 1.8779027462005615, -2.506650462410653, 1695994692.8745217, 
-3.9950082302093506, 1.8657234907150269, -2.5061620934464566, 1695994692.9246604, 
-4.010820388793945, 1.8540629148483276, -2.503838035949276, 1695994692.969839, 
-4.027773857116699, 1.8415290117263794, -2.501944596414996, 1695994693.0183978, 
-4.050658226013184, 1.8245035409927368, -2.501944596414996, 1695994693.0844445, 
-4.066844940185547, 1.8126026391983032, -2.501222856831618, 1695994693.1305063, 
-4.083737373352051, 1.8000479936599731, -2.4995243729680574, 1695994693.178491, 
-4.100127220153809, 1.7875009775161743, -2.499034151824423, 1695994693.2265012, 
-4.1168389320373535, 1.7749823331832886, -2.4964705271586536, 1695994693.2745166, 
-4.134113788604736, 1.7618170976638794, -2.493837965216736, 1695994693.3246455, 
-4.15085506439209, 1.7490631341934204, -2.491652929213277, 1695994693.371553, 
-4.16710901260376, 1.7366360425949097, -2.491216644439032, 1695994693.418668, 
-4.1894707679748535, 1.719426155090332, -2.490788207431655, 1695994693.4834967, 
-4.206329822540283, 1.7065455913543701, -2.4898884399677805, 1695994693.5324159, 
-4.222426891326904, 1.6941874027252197, -2.4898884399677805, 1695994693.5785096, 
-4.23904275894165, 1.681484580039978, -2.4891379992882436, 1695994693.6265075, 
-4.255471229553223, 1.6690212488174438, -2.486957194832054, 1695994693.6746304, 
-4.272571563720703, 1.6555854082107544, -2.4864422748440376, 1695994693.723648, 
-4.289336204528809, 1.6423441171646118, -2.4834074464681524, 1695994693.7726138, 
-4.3054094314575195, 1.629974126815796, -2.4805263256372467, 1695994693.8196332, 
-4.327573776245117, 1.6123806238174438, -2.4761876708113837, 1695994693.8835685, 
-4.3439764976501465, 1.5992697477340698, -2.4734811342877485, 1695994693.931599, 
-4.359962463378906, 1.5864267349243164, -2.472006920265867, 1695994693.9785078, 
-4.376064300537109, 1.5735782384872437, -2.47132892473474, 1695994694.0265026, 
-4.3923726081848145, 1.5606141090393066, -2.4708422526629192, 1695994694.0745041, 
-4.409495830535889, 1.5469262599945068, -2.4704118278589506, 1695994694.1236486, 
-4.425635814666748, 1.5339415073394775, -2.4687138115245926, 1695994694.1715724, 
-4.441798210144043, 1.5210318565368652, -2.4664517034466362, 1695994694.2183912, 
-4.457783222198486, 1.507919192314148, -2.4647368571862986, 1695994694.266367, 
-4.479684829711914, 1.4898993968963623, -2.4625801108177248, 1695994694.3316538, 
-4.495661735534668, 1.4768292903900146, -2.459513261821377, 1695994694.3785145, 
